"","Amphipoda sp1 FW_014_01","Aoteapsyche sp1 FW_014_01","Aphrophila noevaezelandiae","Austroperla cyrene","Austrosimulium australense","Coloburiscus humeralis","Costachorema xanthoptera","Deleatidium sp1 FW_014_01","Eukiefieriella","Helicopsyche albescens","Hudsonema amabilis","Hydora nitida adult","Hydora nitida larva","Hydrobiosid sp1 FW_014_01","Maoridiamesea","Megaleptoperla grandis","Naonella","Nothodixa sp1 FW_014_01","Oligochaeta type I","Oligochaeta type II","Olinga feredayii","Orchymontia sp1 FW_014_01","Pelicypod sp1 FW_014_01","Philorheithrus agilis","Pirara","Polyplectropus puerilis","Potamopyrgus antipodarum","Psilachorema bidens","Pycnocentria sp1 FW_014_01","Pycnocentrodes evecta","Salmo trutta","Scirtid sp1 FW_014_01","Stictocladius","Stratiomyid sp1 FW_014_01","Tanytarsini","Zealandoperla sp1 FW_014_01","Zealolessica cheira"
"Pinnularia sp1 FW_014_01",0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pirara",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplectropus puerilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Potamopyrgus antipodarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Psilachorema bidens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pycnocentrodes evecta",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Rhoicosphenia curvata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rhopalodia novae zelandicae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Spirogyra",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stauroneis sp1 FW_014_01",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stephanodiscus sp1 FW_014_01",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"Surirella",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Synedra ulna",0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Tabellaria flocculosa",0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Terrestrial Invertebrates",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Zealandoperla sp1 FW_014_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
