"","Acroperla trivacuata","Amelotopsis perscitus","Aoteapsyche sp1 FW_015_01","Aphrophila noevaezelandiae","Archicauliodes diversus","Austroclima jollyae","Austrosimulium australense","Baraeoptera roria","Coloburiscus humeralis","Corynoneura","Costachorema xanthoptera","Cricotopus I","Cricotopus II","Deleatidium sp1 FW_015_01","Eriopterini sp1 FW_015_01","Eukiefiriella","Galaxiidae anomalus","Galaxiidae sp1 FW_015_01","Helicopsyche albescens","Hydora nitida adult","Hydora nitida larva","Hydrobiosis parumbripennis","Hydrobiosis type Black Pronotum","Larsia I","Maoridiamesea","Naonella","Nesameletus ornatus","Oligochaeta type I","Oligochaeta type II","Olinga feredayi","Oniscigaster sp1 FW_015_01","Orthoclad sp1 FW_015_01","Orychmontia sp1 FW_015_01","Oxyethira albiceps","Philoreithrus agilis","Pirara","Podonomus","Polypedellum","Potamopyrgus antipodarum","Psilachorema bidens","Psychodidae sp1 FW_015_01","Pycnocentrodes sp1 FW_015_01","Scirtidae larvae","Stenoperla prasinia","Stictocladius","Tanypodini","Tanytarsini","Tanytarsini II","Zealandoperla sp1 FW_015_01"
"Plant cells",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Podonomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polypedellum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Psilachorema bidens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnocentrodes sp1 FW_015_01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhoicosphenia curvata",1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0
"Rhopalodia novae zelandicae",0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Stenoperla prasinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synedra rumpens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"Synedra ulna",1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
"Tabellaria flocculosa",1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"Tanytarsini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terrestrial Invertebrates",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Zealandoperla sp1 FW_015_01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
